Periods,Years,Obj fun 2019,Ind CO2 GtCO2/yr,Atm conc C (ppm),Atm conc GtC,Atm temp (deg c above preind),Tot forcing w/m2,Forcings exog w/m2,CO2 forcing 2/m2,Actual other abat GHG forcings w/m2,Carbon price 2019 x tCO2,Emissions control rate,Social cost carbon $/tCO2,Output net net trill 2019,Short interest rate %/yr,Population,TFP,output gross gross 2019$,Change TFP %/yr,Capital stock 2019$,"Savings rate, fraction gross output","Gross investment, 2019$",Y gross-net 2019$,Consumption per capita 2019$,Consumption,"Climate damages, fraction of output",Damages 2019$,Abatement 2019$,Abatement/Output,Sigmabase CO2/output no controls,"Sigmatot CO2/output,no controls, all CO2",Cost backstop technology $/tCO2,Total CO2 Emissions GtCO2/yr,Total CO2e Emissions GtCO2e/yr,Industrial CO2 emissions GtCO2/yr,Base abateable non-CO2 emission GtCO2e/yr,Land emissions GtCO2,Cumulative CO2 emissions GtC,Atm fraction CO2 since 1765,Atm fraction CO2 since 2020
1,2020,1248.8959409644,12.4086434135,416.2031931455,886.5128014,1.24715,2.7918384643,-0.054,2.3278384643,0.518,6,0.0512902479,30.9686325387,134.161865239,0,7752.9,5.84,134.8914364654,0.066,295,0.2601368619,34.90044661,134.1640326022,12.8031341342,99.2614186291,0.0053925133,0.7274038633,0.0021673631,1.61548e-05,0.0969631152,0.1357483613,695.1772859016,18.006030951,27.4551800821,12.4086434135,9.96,5.9,633.5,0.4712119916,0
2,2025,NaN,13.3232437542,417.1388418087,888.5057330525,1.3704140439,2.8427450497,-0.0340625,2.3405701755,0.5362373742,6.7884492773,0.0571634695,36.4336853396,156.0608437056,0.0461800771,8137.3673508502,6.2526766595,157.0865850591,0.0655068516,348.6967830499,0.2567261191,40.0648947435,156.0637713475,14.254726862,115.9959489621,0.0065111461,1.0228137116,0.0029276419,1.87596e-05,0.0899568986,0.1248714198,661.2730895942,18.3297057314,28.0468147242,13.3232437542,10.30625,5.31,658.0581436866,0.456655284,0.0811515262
3,2030,NaN,14.1976144131,420.2817582108,895.200144989,1.4433027347,2.9235026417,-0.014125,2.3831288716,0.5544987701,7.6805072652,0.0637092308,41.5738258051,179.8381981504,0.0450070659,8481.1706083346,6.6909818123,181.1504279025,0.065017388,406.2264371404,0.2543655969,45.7446506196,179.8421256929,15.8107357726,134.0935475308,0.0072221867,1.3083022097,0.0039275424,2.18393e-05,0.0837076734,0.1152026855,629.0224204525,18.672147999,28.6459854176,14.1976144131,10.6525,4.779,683.0577423382,0.4497425641,0.1752973688
4,2035,NaN,15.0439373324,424.1594439796,903.4596156766,1.5045869466,3.0136868493,0.0058125,2.4352007609,0.5726735884,8.689788999,0.0710045442,46.8907939647,205.6686024871,0.0440820202,8786.6181848006,7.1562633642,207.3008531081,0.0645315817,468.5959019651,0.2526625694,51.9647575559,205.6738457751,17.4929468538,153.7038449312,0.0078485318,1.6270073331,0.0052432879,2.54939e-05,0.0781172303,0.1065811961,598.3446350051,19.0396396874,29.2574284573,15.0439373324,10.99875,4.3011,708.5243926369,0.4452346518,0.2258840281
5,2040,NaN,15.8683187238,428.5399626432,912.7901204301,1.5645618593,3.1098572375,0.02575,2.4934553951,0.5906518423,9.8316986417,0.0791352403,52.3449703777,233.7176456866,0.0432782945,9056.4844687876,7.6499251325,235.7251507331,0.0640494052,536.5249819311,0.2514214311,58.7616249405,233.7246199359,19.3183151088,174.9560207461,0.0084867092,2.0005307972,0.0069742494,2.98405e-05,0.0731019799,0.0988704278,569.163022809,19.4329769998,29.8801876983,15.8683187238,11.345,3.87099,734.4922590955,0.4421967856,0.2601913915
6,2045,NaN,16.6738422416,433.3366475956,923.0070593787,1.6258076831,3.2105749193,0.0456875,2.5565653208,0.6083220984,11.1236645899,0.0881969786,57.8226180559,264.1538921388,0.042541052,9293.7833464428,8.1734283574,266.6063634263,0.0635708316,610.620761283,0.2505222707,66.1764328758,264.1631427456,21.302138417,197.9774592635,0.0091641499,2.4432206807,0.0092506068,3.50198e-05,0.0685905286,0.0919541775,541.4046146337,19.8504645816,30.5105816557,16.6738422416,11.69125,3.483891,760.9965921558,0.4402214917,0.2862371025
7,2050,NaN,17.4616130554,438.498612607,934.0020448529,1.6887976773,3.3148999898,0.065625,2.623705545,0.6255694448,12.5854054745,0.0982963721,63.1511651804,297.153744564,0.0418465263,9501.5984247488,8.7282932152,300.1337142413,0.0630958338,691.4476177088,0.2498669489,74.2488995061,297.1659877705,23.45972068,222.9048450581,0.0098880143,2.9677264707,0.0122432065,4.12016e-05,0.0645216939,0.0857332007,515,20.2889064938,31.1431639143,17.4616130554,12.0375,3.1355019,788.0703299921,0.4390496981,0.3072338681
8,2055,NaN,18.2931475503,444.028758503,945.7812556113,1.7536083075,3.4225992,0.0855625,2.6947632497,0.6422734503,14.2392311164,0.106514011,68.0962153417,332.9012065798,0.0411860533,9682.9613941428,9.3161003335,336.5045838371,0.0626243852,779.5374013115,0.2493470987,83.0079500035,332.9169342782,25.8075237941,249.8932565763,0.0106615176,3.5876495589,0.0157276985,4.72443e-05,0.060842872,0.0801224571,512.4314267842,20.8145218649,31.8792289818,18.2931475503,12.38375,2.82195171,815.7420518877,0.4385960616,0.3252183036
9,2060,NaN,19.1234594767,449.9071349177,958.3021973747,1.8202168805,3.5334969639,0.1055,2.7693315702,0.6586653937,16.1103830303,0.1154186496,72.3570650508,371.5814851794,0.0405656107,9840.7694557889,9.9384923038,375.9197876975,0.0621564592,875.3487901179,0.2487914158,92.4462837848,371.6016617661,28.3651804515,279.1352013946,0.011486828,4.3181259314,0.0201765868,5.42992e-05,0.0575086926,0.0750488438,509.8756643808,21.3700807457,32.6308013366,19.1234594767,12.73,2.539756539,844.1306523581,0.4386787661,0.3408306994
10,2065,NaN,19.951404244,456.1229951471,971.5419796634,1.8885067473,3.6472167929,0.1254375,2.8471285072,0.6746507856,18.2274196733,0.1250677216,75.5579704386,413.3634257261,0.0400078622,9977.7332798719,10.5971751914,418.5647958515,0.0616920296,979.1161260005,0.247885473,102.4667883222,413.3892802545,31.1590447134,310.8966374057,0.012364909,5.1755155971,0.0258545284,6.25467e-05,0.0544799036,0.0704493254,507.3326488956,21.9513077217,33.392140927,19.951404244,13.07625,2.2857808851,873.2769708874,0.4391985453,0.35461777
